id,name,email,role,phone,address,password,created_at,updated_at
1,admin,admin@gmail.com,0,,,admin,,
2,user,user@gmail.com,2,,,user,2020-01-01,
3,employee,employee@gmail.com,1,,,employee,,
4,user,user4@gmail.com,2,,,user,2020-01-01,
5,user,user5@gmail.com,2,,,user,2020-01-01,
6,user,user6@gmail.com,2,,,user,2020-01-01,
7,user,user7@gmail.com,2,,,user,2020-01-01,
8,user,user8@gmail.com,2,,,user,2020-01-01,
9,user,user9@gmail.com,2,,,user,2020-01-01,
11,user,user11@gmail.com,2,,,user,2020-02-01,
12,user,user12@gmail.com,2,,,user,2020-03-01,
13,user,user13@gmail.com,2,,,user,2020-03-03,
14,user,user14@gmail.com,2,,,user,2020-03-03,
15,user,user15@gmail.com,2,,,user,2020-03-03,
16,user,user16@gmail.com,2,,,user,2020-03-03,
17,user,user17@gmail.com,2,,,user,2020-03-03,
18,user,user18@gmail.com,2,,,user,2020-03-03,
19,user,user19@gmail.com,2,,,user,2020-03-03,
20,user,user20@gmail.com,2,,,user,2020-03-03,
21,user,user21@gmail.com,2,,,user,2020-03-03,
22,user,user22@gmail.com,2,,,user,2020-03-03,
23,user,user23@gmail.com,2,,,user,2020-04-04,
24,user,user24@gmail.com,2,,,user,2020-04-04,
25,user,user25@gmail.com,2,,,user,2020-04-04,
26,user,user26@gmail.com,2,,,user,2020-04-04,
27,user,user27@gmail.com,2,,,user,2020-06-06,
28,user,user28@gmail.com,2,,,user,2020-06-06,
29,user,user29@gmail.com,2,,,user,2020-06-06,
30,user,user30@gmail.com,2,,,user,2020-06-06,
31,user,user31@gmail.com,2,,,user,2020-07-07,
32,user,user32@gmail.com,2,,,user,2020-08-08,
33,user,user33@gmail.com,2,,,user,2020-08-08,
34,user,user34@gmail.com,2,,,user,2020-09-09,
35,user,user35@gmail.com,2,,,user,2020-09-09,
36,user,user36@gmail.com,2,,,user,2020-09-09,
37,user,user37@gmail.com,2,,,user,2020-09-09,
38,user,user38@gmail.com,2,,,user,2020-10-10,
39,user,user39@gmail.com,2,,,user,2020-10-10,
40,user,user40@gmail.com,2,,,user,2020-10-10,
41,user,user41@gmail.com,2,,,user,2020-10-10,
42,user,user42@gmail.com,2,,,user,2020-10-10,
43,user,user43@gmail.com,2,,,user,2020-10-10,
44,user,user44@gmail.com,2,,,user,2020-11-11,
45,user,user45@gmail.com,2,,,user,2020-11-11,
46,user,user46@gmail.com,2,,,user,2020-12-12,
47,user,user47@gmail.com,2,,,user,2020-12-12,
48,user,user48@gmail.com,2,,,user,2020-12-12,
